issue_title,issue_html_url,issue_pr_html_url,pr_title,bug_symptom_type,bug_symptom_detail,bug_root_cause_type,bug_root_cause_detail,repo,issue_create_date,issue_close_date,issue_duration_days,issue_comment_count,fix_change_loc,fix_change_file_count
"regression: returning ""null"" for structured content",https://github.com/modelcontextprotocol/go-sdk/issues/417,https://github.com/modelcontextprotocol/go-sdk/pull/418,"mcp: avoid ""null"" in structuredContent",Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/go-sdk,2025-09-04T18:43:39Z,2025-09-04T23:48:52Z,0.21,0,72,3
`mcp.CallToolResult.StructuredContent`: what is its usage?,https://github.com/modelcontextprotocol/go-sdk/issues/386,https://github.com/modelcontextprotocol/go-sdk/pull/421,"all: add examples of customizing tool schemas, and clarify documentation",Execution Error,Documentation-Behavior Mismatch,Documentation & Usability Defects,Outdated or Erroneous Documentation,modelcontextprotocol/go-sdk,2025-09-01T04:59:32Z,2025-09-05T18:11:12Z,4.55,8,409,7
Unit tests panic during shutdown,https://github.com/modelcontextprotocol/go-sdk/issues/556,https://github.com/modelcontextprotocol/go-sdk/pull/557,mcp: fix panics with nil logger; ensure test handlers do not panic,Connection Termination,Connection Termination,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-10-06T15:35:59Z,2025-10-06T17:34:21Z,0.08,1,48,2
reflect: Elem of invalid type mcp.Result,https://github.com/modelcontextprotocol/go-sdk/issues/375,https://github.com/modelcontextprotocol/go-sdk/pull/374,fix: complete,Connection Termination,Connection Termination,Framework Implementation Defects,Type Error,modelcontextprotocol/go-sdk,2025-08-28T07:16:49Z,2025-08-29T14:06:24Z,1.28,0,35,2
Context propagation is broken in StreamableClientTransport,https://github.com/modelcontextprotocol/go-sdk/issues/513,https://github.com/modelcontextprotocol/go-sdk/pull/514,mcp: fix context propagation in StreamableClientTransport,Execution Error,Silent Error,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-09-22T15:28:54Z,2025-09-24T16:12:12Z,2.03,12,75,2
'Accept' Content-Types don't support wildcards,https://github.com/modelcontextprotocol/go-sdk/issues/290,https://github.com/modelcontextprotocol/go-sdk/pull/297,mcp: allow correct 'Accept' header values (#290),Negotiation Failure,Transport Layer Error,Protocol & Specification Violations,Communication Transport Layer Issue,modelcontextprotocol/go-sdk,2025-08-12T23:20:26Z,2025-08-13T21:12:14Z,0.91,1,7,1
Remove exported error codes from the MCP package,https://github.com/modelcontextprotocol/go-sdk/issues/535,https://github.com/modelcontextprotocol/go-sdk/pull/536,mcp: unexport incidentally exported error codes,Unexpected Side Effects,User Extensibility Issue,Documentation & Usability Defects,Outdated or Erroneous Documentation,modelcontextprotocol/go-sdk,2025-09-26T16:49:28Z,2025-09-26T18:04:29Z,0.05,0,44,6
"Inspector warning ""No text block matches structured content"" (but it does!)",https://github.com/modelcontextprotocol/go-sdk/issues/475,https://github.com/modelcontextprotocol/go-sdk/pull/482,mcp: correct the JSON used for unstructured content,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/go-sdk,2025-09-16T23:06:48Z,2025-09-17T21:42:45Z,0.94,1,35,2
Validate tool output fails for time.Time and other types that get serialized to strings in JSON,https://github.com/modelcontextprotocol/go-sdk/issues/447,https://github.com/modelcontextprotocol/go-sdk/pull/454,"mcp: propertly validate against JSON, independent of Go values",Execution Error,Data Validation Failure,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/go-sdk,2025-09-10T20:46:12Z,2025-09-12T14:50:21Z,1.75,4,372,12
Logging transport should be concurrency safe,https://github.com/modelcontextprotocol/go-sdk/issues/466,https://github.com/modelcontextprotocol/go-sdk/pull/463,docs: add feature and troubleshooting documentation,Connection Termination,Connection Termination,Performance & Resource Defects,Concurrency/Asynchronous Issue,modelcontextprotocol/go-sdk,2025-09-15T18:16:56Z,2025-09-16T15:13:41Z,0.87,0,1596,22
Streamable HTTP GET requests hang,https://github.com/modelcontextprotocol/go-sdk/issues/410,https://github.com/modelcontextprotocol/go-sdk/pull/413,mcp: flush headers immediately for the hanging GET,Execution Hang/Poor Performance,Connection Hang,Protocol & Specification Violations,Communication Transport Layer Issue,modelcontextprotocol/go-sdk,2025-09-04T10:27:29Z,2025-09-04T16:40:08Z,0.26,5,111,2
streamable session persists past client disconnect,https://github.com/modelcontextprotocol/go-sdk/issues/258,https://github.com/modelcontextprotocol/go-sdk/pull/360,mcp: cleanup transport after keepalive ping fails,Execution Hang/Poor Performance,Concurrency-Related Hang,Performance & Resource Defects,Low-Performance Implementation,modelcontextprotocol/go-sdk,2025-08-07T10:53:02Z,2025-08-22T19:26:53Z,15.36,6,129,5
`mcp.CallToolResult.IsError` usage is unclear,https://github.com/modelcontextprotocol/go-sdk/issues/385,https://github.com/modelcontextprotocol/go-sdk/pull/421,"all: add examples of customizing tool schemas, and clarify documentation",Execution Error,Documentation-Behavior Mismatch,Documentation & Usability Defects,Outdated or Erroneous Documentation,modelcontextprotocol/go-sdk,2025-09-01T04:47:50Z,2025-09-05T18:11:12Z,4.56,1,409,7
Nested structs not correctly flattened in JSON schema,https://github.com/modelcontextprotocol/go-sdk/issues/437,https://github.com/modelcontextprotocol/go-sdk/pull/446,go.mod: update jsonschema to v0.2.2,Negotiation Failure,Discovery Failure,Integration & Environment Errors,Dependency Version Incompatibility,modelcontextprotocol/go-sdk,2025-09-09T14:58:01Z,2025-09-11T14:21:03Z,1.97,2,66,3
mcp lifecycle: initialization phase is not completely followed,https://github.com/modelcontextprotocol/go-sdk/issues/225,https://github.com/modelcontextprotocol/go-sdk/pull/260,mcp: simplify ServerSession.initialize,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,modelcontextprotocol/go-sdk,2025-08-02T10:32:43Z,2025-08-07T18:59:38Z,5.35,2,113,6
Server notifications are not sent out in stateless mode,https://github.com/modelcontextprotocol/go-sdk/issues/387,https://github.com/modelcontextprotocol/go-sdk/pull/411,mcp: set default logging level to info,Negotiation Failure,Transport Layer Error,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-09-01T08:54:58Z,2025-09-04T15:10:41Z,3.26,5,6,2
Random description for array items is sent in inputSchema after update to v0.3.0,https://github.com/modelcontextprotocol/go-sdk/issues/366,https://github.com/modelcontextprotocol/go-sdk/pull/370,go.mod: update to fixed jsonschema,Negotiation Failure,Discovery Failure,Integration & Environment Errors,Dependency Version Incompatibility,modelcontextprotocol/go-sdk,2025-08-25T09:06:23Z,2025-08-25T18:00:25Z,0.37,6,4,2
No tools are advertised when assigning a pointer type in the generic for `CallToolResultFor`,https://github.com/modelcontextprotocol/go-sdk/issues/200,https://github.com/modelcontextprotocol/go-sdk/pull/338,mcp: treat pointers equivalently to non-pointers when deriving schema,Negotiation Failure,Discovery Failure,Framework Implementation Defects,Type Error,modelcontextprotocol/go-sdk,2025-07-29T23:26:35Z,2025-08-21T14:57:29Z,22.65,1,184,2
broken compile from http example,https://github.com/modelcontextprotocol/go-sdk/issues/383,https://github.com/modelcontextprotocol/go-sdk/pull/381,examples/http: update to v0.3.0,Deployment Failure,Deployment Failure,Documentation & Usability Defects,Outdated or Erroneous Documentation,modelcontextprotocol/go-sdk,2025-09-01T02:53:01Z,2025-09-01T13:24:31Z,0.44,0,17,1
Fail requests immediately in 'stateless' mode,https://github.com/modelcontextprotocol/go-sdk/issues/284,https://github.com/modelcontextprotocol/go-sdk/pull/307,Improvements to the stateless streamable transport,Execution Hang/Poor Performance,Connection Hang,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-08-11T21:40:46Z,2025-08-20T13:59:53Z,8.68,0,643,6
"""initialize"" panics without an ""id"" field",https://github.com/modelcontextprotocol/go-sdk/issues/197,https://github.com/modelcontextprotocol/go-sdk/pull/202,mcp: reject requests with bad IDs,Negotiation Failure,MCP Protocol Error,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/go-sdk,2025-07-29T22:33:34Z,2025-07-30T16:26:41Z,0.75,0,217,8
Excessive goroutine creation on duplicate 'initialized' notification,https://github.com/modelcontextprotocol/go-sdk/issues/313,https://github.com/modelcontextprotocol/go-sdk/pull/314,mcp: ensure keepalive goroutine is started exactly once,Execution Hang/Poor Performance,Concurrency-Related Hang,Performance & Resource Defects,Concurrency/Asynchronous Issue,modelcontextprotocol/go-sdk,2025-08-17T09:49:40Z,2025-08-19T13:46:56Z,2.16,0,55,2
MaxRetries = 0 actually never attempts a connection,https://github.com/modelcontextprotocol/go-sdk/issues/256,https://github.com/modelcontextprotocol/go-sdk/pull/309,mcp: several fixes for streamable client reconnection,Execution Error,Documentation-Behavior Mismatch,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-08-06T23:57:12Z,2025-08-15T20:48:10Z,8.87,1,248,2
Change type of CreateMessageParams.Metadata,https://github.com/modelcontextprotocol/go-sdk/issues/193,https://github.com/modelcontextprotocol/go-sdk/pull/334,mcp: replace type struct{} with any for user-defined fields,Deployment Failure,Deployment Failure,Framework Implementation Defects,Type Error,modelcontextprotocol/go-sdk,2025-07-29T15:24:50Z,2025-08-20T19:01:45Z,22.15,1,6,1
session.wait() seems to be not effective,https://github.com/modelcontextprotocol/go-sdk/issues/265,https://github.com/modelcontextprotocol/go-sdk/pull/441,mcp: improve error messages from Wait for streamable clients,Execution Hang/Poor Performance,Concurrency-Related Hang,Framework Implementation Defects,Error/Exception Handling Defect,modelcontextprotocol/go-sdk,2025-08-08T03:10:57Z,2025-09-10T15:24:27Z,33.51,3,223,4
mcp/Server.Run does not stop when the context is cancelled,https://github.com/modelcontextprotocol/go-sdk/issues/224,https://github.com/modelcontextprotocol/go-sdk/pull/234,mcp: unblock reads of ioConn as soon as Close is called,Execution Hang/Poor Performance,Concurrency-Related Hang,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-08-01T16:44:51Z,2025-08-06T00:25:00Z,4.32,8,166,2
No tools are advertised when assigning a pointer type in the generic for `CallToolParamsFor`,https://github.com/modelcontextprotocol/go-sdk/issues/199,https://github.com/modelcontextprotocol/go-sdk/pull/338,mcp: treat pointers equivalently to non-pointers when deriving schema,Negotiation Failure,Discovery Failure,Framework Implementation Defects,Server-Tool Interaction Logic Error,modelcontextprotocol/go-sdk,2025-07-29T23:20:54Z,2025-08-21T14:57:29Z,22.65,9,184,2
Nil pointer dereference when trying MCP SSE example,https://github.com/modelcontextprotocol/go-sdk/issues/161,https://github.com/modelcontextprotocol/go-sdk/pull/164,mcp: gracefully handle a nil server in handlers,Negotiation Failure,Transport Layer Error,Framework Implementation Defects,Error/Exception Handling Defect,modelcontextprotocol/go-sdk,2025-07-23T18:08:48Z,2025-07-24T14:35:15Z,0.85,0,23,3
additionalProperties is boolean,https://github.com/modelcontextprotocol/go-sdk/issues/230,https://github.com/modelcontextprotocol/go-sdk/pull/247,jsonschema: marshal to bools,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,External Specification Handling Error,modelcontextprotocol/go-sdk,2025-08-04T07:00:06Z,2025-08-06T15:41:03Z,2.36,9,25,3
"""initialize"" panics without ""params"" field",https://github.com/modelcontextprotocol/go-sdk/issues/195,https://github.com/modelcontextprotocol/go-sdk/pull/210,mcp: handle bad or missing params,Negotiation Failure,MCP Protocol Error,Framework Implementation Defects,Error/Exception Handling Defect,modelcontextprotocol/go-sdk,2025-07-29T18:26:55Z,2025-07-31T14:58:00Z,1.85,1,222,9
Adding the same tool results in a jsonschema: Resolve: root already resolved error,https://github.com/modelcontextprotocol/go-sdk/issues/217,https://github.com/modelcontextprotocol/go-sdk/pull/295,mcp/tool: duplicate tools should not error,Negotiation Failure,Discovery Failure,Framework Implementation Defects,Server-Tool Interaction Logic Error,modelcontextprotocol/go-sdk,2025-07-31T19:43:15Z,2025-08-14T17:38:33Z,13.91,7,44,2
Fix error codes to conform to the spec,https://github.com/modelcontextprotocol/go-sdk/issues/27,https://github.com/modelcontextprotocol/go-sdk/pull/35,mcp: use correct ResourceNotFound code,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,modelcontextprotocol/go-sdk,2025-06-24T22:19:06Z,2025-06-25T18:57:08Z,0.86,0,10,2
Server does not reject requests missing MCP-Protocol-Version header,https://github.com/modelcontextprotocol/go-sdk/issues/198,https://github.com/modelcontextprotocol/go-sdk/pull/337,mcp: handle the Mcp-Protocol-Version header correctly,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,modelcontextprotocol/go-sdk,2025-07-29T22:45:32Z,2025-08-20T20:48:09Z,21.92,8,257,4
Able to crash a server from improper handling of nil params,https://github.com/modelcontextprotocol/go-sdk/issues/186,https://github.com/modelcontextprotocol/go-sdk/pull/214,mcp: fix nil params crash vulnerability (#186),Connection Termination,Connection Termination,Framework Implementation Defects,Error/Exception Handling Defect,modelcontextprotocol/go-sdk,2025-07-29T00:14:20Z,2025-08-05T16:28:37Z,7.68,5,144,1
"""ping"" panics without an ""id"" field",https://github.com/modelcontextprotocol/go-sdk/issues/194,https://github.com/modelcontextprotocol/go-sdk/pull/202,mcp: reject requests with bad IDs,Connection Termination,Connection Termination,Framework Implementation Defects,Error/Exception Handling Defect,modelcontextprotocol/go-sdk,2025-07-29T18:14:33Z,2025-07-30T16:26:41Z,0.93,0,217,8
Next AppRouter routes break because hono globally overwrites the response objects (v1.25.x +),https://github.com/modelcontextprotocol/typescript-sdk/issues/1369,https://github.com/langfuse/langfuse/pull/11645,chore: upgrade MCP to 1.25.3,Unexpected Side Effects,User Extensibility Issue,Integration & Environment Errors,Integration Failure with Frameworks,modelcontextprotocol/typescript-sdk,2026-01-08T15:24:06Z,2026-01-20T11:17:20Z,11.83,6,112,2
"z.preprocess() causes ""Mixed Zod versions detected"" error",https://github.com/modelcontextprotocol/typescript-sdk/issues/1190,https://github.com/modelcontextprotocol/typescript-sdk/pull/1213,fix: allow zod 4 transformations,Deployment Failure,Deployment Failure,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/typescript-sdk,2025-11-28T17:34:51Z,2025-12-02T12:56:39Z,3.81,3,249,2
Support non-standard expires_in responses in OAuthTokensSchema,https://github.com/modelcontextprotocol/typescript-sdk/issues/1120,https://github.com/modelcontextprotocol/typescript-sdk/pull/1111,coerce 'expires_in' to be a number,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Vendor/Client Implementation Inconsistency,modelcontextprotocol/typescript-sdk,2025-11-16T09:35:03Z,2025-11-28T14:13:51Z,12.19,0,44,2
"panic: returned a non-nil result for a ""initialize"" Request without an ID",https://github.com/modelcontextprotocol/go-sdk/issues/175,https://github.com/modelcontextprotocol/go-sdk/pull/177,mcp: don't panic on bad JSON RPC input,Negotiation Failure,MCP Protocol Error,Framework Implementation Defects,Error/Exception Handling Defect,modelcontextprotocol/go-sdk,2025-07-25T14:30:32Z,2025-07-28T14:30:00Z,3,0,2,1
mcp: conformance tests fail with 1.25,https://github.com/modelcontextprotocol/go-sdk/issues/131,https://github.com/modelcontextprotocol/go-sdk/pull/132,mcp: fix conformance tests,Deployment Failure,Deployment Failure,Framework Implementation Defects,Type Error,modelcontextprotocol/go-sdk,2025-07-14T13:39:25Z,2025-07-14T16:48:00Z,0.13,1,145,7
KeepAlive Ping message send null as params,https://github.com/modelcontextprotocol/go-sdk/issues/162,https://github.com/modelcontextprotocol/go-sdk/pull/163,mcp/server: fix nil PingParams in server.Ping,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,modelcontextprotocol/go-sdk,2025-07-23T18:18:19Z,2025-07-23T19:40:58Z,0.06,0,2,1
MCP TypeScript SDK UriTemplate ReDoS,https://github.com/modelcontextprotocol/typescript-sdk/issues/965,https://github.com/modelcontextprotocol/typescript-sdk/pull/1363,fix: prevent ReDoS vulnerability in UriTemplate regex patterns,Execution Hang/Poor Performance,Connection Hang,Performance & Resource Defects,Low-Performance Implementation,modelcontextprotocol/typescript-sdk,2025-09-24T11:53:12Z,2026-01-07T12:17:23Z,105.02,13,37,3
A server connection using stdio transport cannot be closed gracefully,https://github.com/modelcontextprotocol/go-sdk/issues/107,https://github.com/modelcontextprotocol/go-sdk/pull/111,mcp/server: make Run return  on context cancel,Execution Hang/Poor Performance,Server Component Interaction Hang,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-07-08T19:59:51Z,2025-07-10T14:07:26Z,1.76,2,135,2
McpServer overwrites server tool capabilities when a tool is registered,https://github.com/modelcontextprotocol/typescript-sdk/issues/1488,https://github.com/modelcontextprotocol/typescript-sdk/pull/1513,Fix: Respect explicit listChanged: false capability setting,Negotiation Failure,MCP Protocol Error,Framework Implementation Defects,Server-Tool Interaction Logic Error,modelcontextprotocol/typescript-sdk,2026-02-05T21:52:31Z,2026-02-10T10:24:48Z,4.52,0,101,3
OAuth - .well-known files must allow OPTIONS and not GET only,https://github.com/modelcontextprotocol/typescript-sdk/issues/715,https://github.com/modelcontextprotocol/typescript-sdk/pull/1010,Update metadata.ts,Negotiation Failure,Discovery Failure,Protocol & Specification Violations,Communication Transport Layer Issue,modelcontextprotocol/typescript-sdk,2025-06-30T20:23:33Z,2025-10-27T17:40:24Z,118.89,0,4,2
mcpAuthRouter ignores path of baseUrl,https://github.com/modelcontextprotocol/typescript-sdk/issues/600,https://github.com/modelcontextprotocol/typescript-sdk/pull/858,fix(auth-router): correct Protected Resource Metadata for pathful RS and add explicit resourceServerUrl (RFC 9728),Negotiation Failure,Discovery Failure,Authentication & Authorization Defects,OAuth/JWT Protocol Violation,modelcontextprotocol/typescript-sdk,2025-06-09T23:07:29Z,2025-09-22T14:32:31Z,104.64,0,24,1
StreamableHttpClient Transport hangs on connection to other mcp servers,https://github.com/modelcontextprotocol/go-sdk/issues/129,https://github.com/modelcontextprotocol/go-sdk/pull/181,mcp: support application/json in streamable client,Negotiation Failure,Transport Layer Error,Protocol & Specification Violations,Communication Transport Layer Issue,modelcontextprotocol/go-sdk,2025-07-14T02:19:04Z,2025-07-29T14:28:51Z,15.51,4,62,2
Client-side sampling validation doesn't use CreateMessageResultWithToolsSchema when tools are present,https://github.com/modelcontextprotocol/typescript-sdk/issues/1346,https://github.com/modelcontextprotocol/typescript-sdk/pull/1347,Use correct schema for client sampling validation when tools are present,Execution Error,Data Validation Failure,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/typescript-sdk,2025-12-28T23:46:33Z,2026-01-19T16:41:01Z,21.7,0,133,2
some ToolAnnotations bools default to true,https://github.com/modelcontextprotocol/go-sdk/issues/40,https://github.com/modelcontextprotocol/go-sdk/pull/44,mcp: change default-true fields to pointers,Execution Error,Documentation-Behavior Mismatch,Framework Implementation Defects,Type Error,modelcontextprotocol/go-sdk,2025-06-25T19:06:41Z,2025-06-25T21:37:47Z,0.1,0,4,1
ProxyOAuthServerProvider: redirect_uri missing in token request,https://github.com/modelcontextprotocol/typescript-sdk/issues/479,https://github.com/modelcontextprotocol/typescript-sdk/pull/519,fix: ProxyOAuthServerProvider: redirect_uri missing in token request,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,OAuth/JWT Protocol Violation,modelcontextprotocol/typescript-sdk,2025-05-11T18:07:40Z,2025-05-21T16:19:50Z,9.93,1,112,5
Missing dependency hono,https://github.com/modelcontextprotocol/typescript-sdk/issues/1425,https://github.com/modelcontextprotocol/typescript-sdk/pull/1504,fix: add missing hono peer dependency to @modelcontextprotocol/node,Deployment Failure,Deployment Failure,Integration & Environment Errors,Dependency Version Incompatibility,modelcontextprotocol/typescript-sdk,2026-01-26T13:41:33Z,2026-02-10T10:28:42Z,14.87,2,25,3
StreamableHttpClientTransport: maxRetries=0 leads to infinite retry,https://github.com/modelcontextprotocol/typescript-sdk/issues/1179,https://github.com/modelcontextprotocol/typescript-sdk/pull/1216,fix(streamableHttp): fix infinite retries when maxRetries is set to 0,Execution Error,Documentation-Behavior Mismatch,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/typescript-sdk,2025-11-27T03:06:56Z,2025-12-02T14:39:53Z,5.48,0,64,2
